Author;Count
J.R.R. Tolkien;69
Douglas Adams;57
Terry Pratchett;46
Astrid Lindgren;39
George Orwell;39
Stephen King;31
Isaac Asimov;30
Michael Ende;25
Erich Kästner;24
John Irving;24
Hermann Hesse;23
Ray Bradbury;23
William Gibson;23
Neal Stephenson;20
Umberto Eco;20
Ursula K. Le Guin;19
Antoine de Saint-Exupéry;18
Frank Herbert;18
John Steinbeck;17
Aldous Huxley;16
Joseph Heller;16
Margaret Atwood;16
Douglas R. Hofstadter;14
Albert Camus;13
Haruki Murakami;13
James Joyce;13
Kurt Vonnegut;13
Philip K. Dick;13
Friedrich Dürrenmatt;12
J.K. Rowling;12
Marion Zimmer Bradley;12
Otfried Preußler;12
Franz Kafka;11
Jules Verne;11
Lewis Carroll;11
Mark Twain;11
Max Frisch;11
Octavia E. Butler;11
Bill Watterson;10
Harper Lee;10
James Krüss;10
Stanislaw Lem;10
Stefan Zweig;10
Ursula K. LeGuin;10
Walter Moers;10
Carl Sagan;9
Heinrich Böll;9
Janosch;9
Karl Marx;9
Michael Crichton;9
Neil Gaiman;9
Nick Hornby;9
Sir Arthur Conan Doyle;9
Stanisław Lem;9
Thomas Mann;9
William Shakespeare;9
Agatha Christie;8
Bill Bryson;8
C.S. Lewis;8
Erich Maria Remarque;8
Ernest Hemingway;8
Gudrun Pausewang;8
Herman Melville;8
Iain M. Banks;8
Leo Lionni;8
Richard Dawkins;8
T.C. Boyle;8
Wolfgang Herrndorf;8
Andreas Eschbach;7
Anne Frank;7
Charles Dickens;7
Dan Simmons;7
Enid Blyton;7
Erich Fromm;7
Jon Krakauer;7
Kim Stanley Robinson;7
Orson Scott Card;7
Robert A. Heinlein;7
William Golding;7
Arthur C. Clarke;6
Colleen McCullough;6
Edgar Allan Poe;6
Emily Brontë;6
Gustav Schwab;6
Iain Banks;6
Italo Calvino;6
Jane Austen;6
John le Carré;6
Klaus Kordon;6
Maurice Sendak;6
Oliver Sacks;6
Philippe Djian;6
Richard Adams;6
Richard Bach;6
Robin Wall Kimmerer;6
Susan Cooper;6
Thomas Pynchon;6
Tove Jansson;6
Truman Capote;6
Alexandre Dumas;5
Anne McCaffrey;5
Charles Bukowski;5
Christine Nöstlinger;5
Christopher Moore;5
Clifford Stoll;5
David Graeber;5
Günter Wallraff;5
Jack London;5
James S. A. Corey;5
Jasper Fforde;5
