Author; Title; Date of first Publishing; Genre; Sub-Genre; Confidence Score
Unknown;11 Great Horror Stories;;Horror;Short stories;90
Mario Vargas Llosa;Aunt Julia and the Scriptwriter;;Novel;Romance;90
Robert Jackson Bennett;City of Stairs;2014;Fantasy;Urban Fantasy;100
Astrid Lindgren;De gebroeders Leeuwenhart;1973;Children's literature;Fantasy;100
Strugatzki;Picknick am Wegesrand;;Science Fiction;Dystopian;95
Anna Sewell;Uljas Musta;;Children's Fiction;Animal Fiction;90
Little Monster's Bedtime Book;Mercer Mayer;1980;Children's Literature;Picture Book;95
Future Noir;Paul M. Sammon;1996;Non-fiction;Film;100
The Oxford Book of Classical Verse;Adrian Poole & Jeremy Maule;;Classical;Verse;90
Hermann Hesse;Siddhartha;1922;Fiction;Philosophical;100
Albert Camus; The Myth of Sisyphus;1942; Philosophy; Absurdism;95
Raymond Williams;The Long Revolution;;Non-fiction;Cultural Studies;85
Cory Doctorow;Walkaway;;Science Fiction;;90
Helvétius;Del espíritu;;;;
ALVIN TRESSELT;THE DEAD TREE;;Children's Literature;Picture Book;95
Sinclair Lewis;Main Street;1920;Fiction;Realism;100
David R. Hawkins; M.D. Ph.D;;;;90
Bill Bryson;A Short History of Nearly Everything;2003;Non-fiction;Science;95
J.R.R. Tolkien;Pán prstenů I: Společenstvo prstenu;1954;Fantasy;High Fantasy;100
J.R.R. Tolkien;Pán prstenů II: Dvě věže;1954;Fantasy;High Fantasy;100
J.R.R. Tolkien;Pán prstenů III: Návrat krále;1955;Fantasy;High Fantasy;100
Janet E. Mullin;A Sixpence at Whist: Gaming and the English Middle Classes;;History;Social History;90
Albert Camus;Die Pest;;;;
Sue Likes Blue; N/A; N/A; Children's Literature; Early Reader;80
Shirley Schoonover;Sam's Song;;;60;
Erica Jong;Fear of Flying;1973;Fiction;Erotic;95
Plato;The Collected Dialogues;;Philosophy;Classical;85
Clifford D. Simak;City;;Science Fiction;;100
Miranda July;Der erste fiese Typ;;;;100
Acharya S;The Christ Conspiracy: The Greatest Story Ever Sold;;;;100
Tade Thompson;Rosewater;;Science Fiction;;100
William Gibson;Pattern Recognition;2003;Fiction;Science Fiction;100
Rachel Maddow; Drift;2012; Non-fiction; Military History;100
Leonard David;Moon Rush;2019;Science;Space;100
Isaac Asimov;I Robot;1950;Science Fiction;Robots;100
Isaac Asimov;The Rest of the Robots;1964;Science Fiction;Robots;100
Isaac Asimov;The Caves of Steel;1954;Science Fiction;Robots;100
Isaac Asimov;The Naked Sun;1956;Science Fiction;Robots;100
Isaac Asimov;The Robots of Dawn;1983;Science Fiction;Robots;100
Isaac Asimov;Robots and Empire;1985;Science Fiction;Robots;100
Isaac Asimov;Robot Dreams;1986;Science Fiction;Robots;100
Isaac Asimov;Robot Visions;1990;Science Fiction;Robots;100
Colin Fletcher;The Man Who Walked Through Time;;;;100
J.R.R. Tolkien;The Hobbit or There and Back Again;1937;Fantasy;High Fantasy;100
Christopher Evans;The Mighty Micro;;Non-fiction;Technology;95
Barbara Ehrenreich;Fear of Falling;1989;Non-Fiction;Social Commentary;100
Don DeLillo;Libra;1988;Literary Fiction;Historical Fiction;95
Boeli van Leeuwen;De rots der struikeling;;;;85
Cory Doctorow;Radicalized;2019;Science Fiction;Dystopian;100
Elizabeth George;What Came Before He Shot Her;;;Mystery;100
Agatha Christie; And Then There Were None;1939; Mystery; Crime;100
