Title;Count
The Hitchhiker's Guide to the Galaxy;32
The Lord of the Rings;29
1984;21
Neuromancer;18
Gödel  Escher  Bach: An Eternal Golden Braid;12
Little Prince;12
Catch 22;11
Dune;10
Cryptonomicon;9
Fahrenheit 451;9
Der Steppenwolf;9
To Kill a Mockingbird;8
The Dispossessed;8
Die unendliche Geschichte;7
Dracula;7
Foundation;7
Ulysses;7
Braiding Sweetgrass;6
Der Name der Rose;6
Ender's Game;6
Gesammelte Werke;6
Krabat;6
Momo;6
Siddhartha;6
Solaris;6
The Handmaid's Tale;6
The Hobbit;6
The Left Hand of Darkness;6
bell hooks;5
Die Brüder Löwenherz;5
Die Kunst des Liebens;5
Emil und die Detektive;5
Frederick;5
Gabriel García Márquez;5
Gottes Werk und Teufels Beitrag;5
High Fidelity;5
Kuckucksei;5
Ronja Räubertochter;5
The Grapes of Wrath;5
The Mists of Avalon;5
Watership Down;5
 Brave New World;4
A Portrait of the Artist as a Young Man;4
Alice's Adventures in Wonderland;4
All Quiet on the Western Front;4
Betty Blue;4
Childhood's End;4
Das Foucaultsche Pendel;4
Der Herr Der Ringe;4
Deutschstunde;4
Die 13 1/2 Leben des Käpt'n Blaubär;4
Die Bibel nach Biff;4
Die Flüsse von London;4
Die Nebel von Avalon;4
Die neuen Leiden des jungen W.;4
Die Pest;4
Friedhof der Kuscheltiere;4
Guards! Guards!;4
Harry Potter und der Stein der Weisen;4
Hermann Hesse;4
House of Leaves;4
Nineteen Eighty-Four;4
Of Mice and Men;4
Per Anhalter Durch Die Galaxis;4
Pippi Langstrumpf;4
Schöne neue Welt;4
Snow Crash;4
The Catcher in the Rye;4
The Fellowship of the Ring;4
The Selfish Gene;4
Thinking  Fast and Slow;4
Winnetou;4
Wir Kinder vom Bahnhof Zoo;4
 Perdido Street Station;3
 The C Programming Language;3
1Q84;3
A Brief History of Time;3
A Prayer for Owen Meany;3
A Wizard of Earthsea;3
Als Hitler das rosa Kaninchen stahl;3
Anne of Green Gables;3
Brave New World;3
Das Hotel New Hampshire;3
Der Archipel Gulag;3
Der Besuch der alten Dame;3
Der Fremde;3
Der Medicus;3
Der Meister und Margarita;3
Der Untertan;3
Deutsch für Profis;3
Dhalgren;3
Die Bücherdiebin;3
Die kleine Raupe Nimmersatt;3
Die Macht der Computer und die Ohnmacht der Vernunft;3
Die Mars-Chroniken;3
Die Physiker;3
Die Stadt der Träumenden Bücher;3
Die verlorene Ehre der Katharina Blum;3
Dr. Seuss;3
Dragonflight;3
Duden;3
Eine Woche voller Samstage;3
Erich Fromm;3
Farm der Tiere;3
Fever Pitch;3
Frankenstein;3
Ganz unten;3
Gedichte;3
Glennkill;3
Großer-Tiger und Christian;3
Harry Potter and the Philosopher's Stone;3
Heart of Darkness;3
Homage to Catalonia;3
Homo faber;3
Jim Knopf und die Wilde 13;3
Lord of the Flies;3
Märchen;3
MAUS;3
Moby-Dick;3
Narziß und Goldmund;3
Nine Princes in Amber;3
Ökotopia;3
One Hundred Years of Solitude;3
Parable of the Sower;3
Peterchens Mondfahrt;3
Pride and Prejudice;3
Ready Player One;3
Robinson Crusoe;3
Schachnovelle;3
Small Gods;3
Sprache und Sein;3
Swimmy;3
The Demon-Haunted World;3
The God Delusion;3
The Phantom Tollbooth;3
Trainspotting;3
Was weiße Menschen nicht über Rassismus hören wollen aber wissen sollten;3
Watchmen;3
Wie wirklich ist die Wirklichkeit?;3
Wo die wilden Kerle wohnen;3
Zwei Jahre Ferien;3
 A Canticle for Leibowitz;2
 Andorra;2
 Arbeit und Struktur;2
 Asterix Tour de France;2
 Der Herr Der Ringe;2
 Der Kleine Prinz;2
 Diercke Weltatlas;2
 Empire;2
 Good Omens;2
 Jim Knopf und Lukas der Lokomotivführer;2
 Memoiren eines alten Arschlochs;2
 Parable of the Sower;2
 Per Anhalter durch die Galaxis;2
 Ronja Räubertochter;2
 Sleep Book;2
 Tagebuch;2
 The Hitchhiker's Guide to the Galaxy;2
 The Mythical Man-Month;2
 The Story of Ferdinand;2
 Urmel aus dem Eis;2
2001: A Space Odyssey;2
A Hat Full of Sky;2
A History of the World in 10½ Chapters;2
A Scanner Darkly;2
A Short History of Nearly Everything;2
A Wrinkle in Time;2
Accelerando;2
Alfons Zitterbacke;2
Als die Tiere den Wald verließen;2
American Psycho;2
Ammonite;2
Angels Fear;2
Anleitung zum Unglücklichsein;2
Arbeit und Struktur;2
Auf der Suche nach der verlorenen Zeit;2
Blue Highways;2
Bonjour tristesse;2
Bury My Heart at Wounded Knee;2
Caliban and the Witch;2
Cat's Cradle;2
Christiane F;2
Consider Phlebas;2
Cosmos;2
Das doppelte Lottchen;2
Das Kapital;2
Das Parfum;2
Death on the Nile;2
Der 35. Mai;2
Der Alchimist;2
Der Bahnwärter Sandomir;2
Der Distelfink;2
Der Fall Jane Eyre;2
Der futurologische Kongreß;2
Der kleine Angsthase;2
Der kleine Vampir;2
Der Mann  der seine Frau mit einem Hut verwechselte;2
Der Prophet;2
Der Prozess;2
Der Report der Magd;2
Der Richter und sein Henker;2
Der satanarchäolügenialkohöllische Wunschpunsch;2
Der Sportreporter;2
Der Stellvertreter;2
Der Untergeher;2
Der Weg des Künstlers;2
Der Wind in den Weiden;2
Der Wüstenplanet;2
Der Zauberberg;2
designing with web standards;2
Deutschland Schwarz Weiss;2
Die Entdeckung der Langsamkeit;2
Die Entdeckung des Himmels;2
Die Foundation-Trilogie;2
Die Geschichte der Kunst;2
Die Insel der 1000 Gefahren;2
Die Konferenz der Tiere;2
Die Leiden des jungen Werther;2
Die Letzten ihrer Art;2
Die letzten Kinder von Schewenborn;2
Die Möwe Jonathan;2
Die philosophische Hintertreppe;2
Die rote Zora und ihre Bande;2
Die roten Matrosen;2
Die Säulen der Erde;2
Die schönsten Sagen des klassischen Altertums;2
Die schönsten Sagen des Klassischen Altertums;2
Die Wand;2
Die Welle;2
Die Wolke;2
Doktor Erich Kästners Lyrische Hausapotheke;2
Don Quixote;2
Dragons of Autumn Twilight;2
Draußen vor der Tür;2
Du darfst nicht alles glauben  was du denkst;2
DuMont's Handbuch für Grafiker;2
Erogene Zone;2
Es;2
Es ist was es ist;2
Essays;2
Etwas von den Wurzelkindern;2
exit RACISM;2
Exodus;2
Fabian: Die Geschichte eines Moralisten;2
Fear and Loathing in Las Vegas;2
Feet of Clay;2
Ferien auf Saltkrokan;2
Fiasko;2
Fight Club;2
Fliegender Stern;2
Foucault's Pendulum;2
Free Software Free Society;2
Gaudy Night;2
Gender Trouble;2
Gepäckschein 666;2
Gevatter Tod;2
Gravity's Rainbow;2
Grimms Märchen;2
Ham on Rye;2
Hamlet;2
Helen Keller;2
Hiroshima;2
Holy Bible;2
Hundert Jahre Einsamkeit;2
Hunger;2
I Robot;2
If on a Winter's Night a Traveler;2
Illusions: The Adventures of a Reluctant Messiah;2
Into Thin Air;2
Jacques der Fatalist und sein Herr;2
Jane Eyre;2
Jonathan Strange & Mr Norrell;2
Joseph and His Brothers;2
Jurassic Park;2
Just So Stories;2
Kafka am Strand;2
Kappa;2
La Sombra del Viento;2
Legends & Lattes;2
Living My Life;2
LTI;2
Mamie 1780-1794;2
Mastering Regular Expressions;2
Maxim Gorki;2
Mein erstes Technikbuch;2
Mein Urgroßvater und ich;2
Men at Arms;2
Microserfs;2
Moby Dick;2
